USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
VA	5145512	01789071	Lexington city	25	A	6467874	68429	       2.497	       0.026	 37.782332	 -79.444320                                                                                                  
VA	5145784	02390070	Lincolnia CDP	57	S	12277594	78504	       4.740	       0.030	 38.815789	 -77.154271                                                                                                  
VA	5145957	02390077	Linton Hall CDP	57	S	32963095	392084	      12.727	       0.151	 38.754893	 -77.575347                                                                                               
VA	5146328	02390084	Loch Lomond CDP	57	S	1837944	910	       0.710	       0.000	 38.780711	 -77.482033                                                                                                   
VA	5146760	02584867	Long Branch CDP	57	S	6400566	15957	       2.471	       0.006	 38.830539	 -77.269975                                                                                                 
VA	5147064	02390093	Lorton CDP	57	S	13740270	193641	       5.305	       0.075	 38.698722	 -77.216649                                                                                                    
VA	5147136	02584868	Loudoun Valley Estates CDP	57	S	4862083	53471	       1.877	       0.021	 38.980637	 -77.508074                                                                                      
VA	5147144	02391275	Louisa town	43	A	4731362	37057	       1.827	       0.014	 38.016575	 -77.999743                                                                                                     
VA	5147208	02391276	Lovettsville town	43	A	2280164	9023	       0.880	       0.003	 39.273893	 -77.639294                                                                                                
VA	5147224	02584869	Lovingston CDP	57	S	10445455	859	       4.033	       0.000	 37.763884	 -78.859696                                                                                                   
VA	5147296	02584870	Lowes Island CDP	57	S	7814508	373401	       3.017	       0.144	 39.049173	 -77.354761                                                                                               
VA	5147352	02390094	Low Moor CDP	57	S	2751422	90922	       1.062	       0.035	 37.795845	 -79.865211                                                                                                    
VA	5147496	02628837	Lunenburg CDP	57	S	5535632	0	       2.137	       0.000	 36.958465	 -78.268238                                                                                                       
VA	5147528	02391279	Luray town	43	A	12350991	77153	       4.769	       0.030	 38.664809	 -78.455029                                                                                                     
VA	5147672	01498429	Lynchburg city	25	A	127241541	1343203	      49.128	       0.519	 37.399016	 -79.195458                                                                                              
VA	5147720	02390102	Lyndhurst CDP	57	S	15505334	260614	       5.987	       0.101	 38.021657	 -78.949492                                                                                                 
VA	5148344	02391293	McKenney town	43	A	2403021	0	       0.928	       0.000	 36.985367	 -77.721909                                                                                                       
VA	5148376	02389462	McLean CDP	57	S	64179056	271009	      24.780	       0.105	 38.943545	 -77.192913                                                                                                    
VA	5148445	02629841	McMullin CDP	57	S	2540910	19076	       0.981	       0.007	 36.818696	 -81.577295                                                                                                    
VA	5148450	02584871	McNair CDP	57	S	5298677	45402	       2.046	       0.018	 38.951445	 -77.413925                                                                                                      
VA	5148488	02391281	Madison town	43	A	541085	0	       0.209	       0.000	 38.378995	 -78.258618                                                                                                         
